INGREDIENT,AMOUNT,SUBSTITUTES,
Allspice,1 teaspoon,½ teaspoon cinnamon and ½ teaspoon ground cloves,
Apple pie spice,1 teaspoon,"½ teaspoon cinnamon, ¼ teaspoon nutmeg and 1/8 teaspoon cardamom",
Arrowroot starch,1 teaspoon,"1 tablespoon flour ,  1½ teaspoon cornstarch",
Baking powder,1 teaspoon,"¼ teaspoon baking soda plus 5/8 teaspoon cream of tartar , ¼ teaspoon baking soda plus ½ cup sour milk 
or buttermilk or yogurt  , ¼ teaspoon baking soda plus ½ tablespoon 
vinegar or lemon juice used with sweet milk 
to make ½ cup  , ¼ teaspoon baking soda plus ¼ to ½ cup 
molasses , 1/3 teaspoon baking soda plus ½ teaspoon 
cream of tartar",
Bay leaf,1 whole,¼ teaspoon cracked bay leaves,
Beau monde seasoning,1 teaspoon,"1 teaspoon seasoning salt , ½ teaspoon table salt plus dash of garlic, 
onion and celery salts or powders",
"Beef stock base, instant",2 teaspoon,1 beef bouillon cube,
"Beef stock base, instant",4 teaspoons dissolved in 1¼ cups water ,1 can condensed undiluted beef bouillon or consumme,
"Bread crumbs, dry",1/3 cup,1 slice of bread,
"Bread crumbs, soft",3/4 cup,1 slice bread,
"Broth, beef or chicken",1 cup,"1 bouillon cube dissolved in 1 cup boiling water , 1 teaspoon powdered broth base 
dissolved in 1 cup boiling water",
Butter,1 cup,"7/8 to 1 cup hydrogenated fat plus ½ teaspoon salt , 7/8 cup oil plus ½ teaspoon salt ,  7/8 cup lard plus ½ teaspoon salt ,  1 cup margarine ,  7/8 cup oil ",
Carob powder,If recipe calls for 3 tablespoons carob powder plus 2 tablespoons water,1 ounce unsweetened chocolate,
Catsup,1 cup,"1 cup tomato sauce, ½ cup sugar and 2 tablespoons vinegar",
"Chicken stock base, instant",1½ teaspoons,1 chicken bouillon cube,
"Chicken stock base, instant",1 tablespoon dissolved in 1 cup water ,1 cup canned or homemade chicken broth or stock,
Chili sauce,1 cup,"1 cup tomato sauce, ¼ cup brown sugar, 
2 tablespoons vinegar, ¼ teaspoon 
cinnamon, dash of ground cloves and 
dash of allspice",
"Chives, finely chopped",2 teaspoons,2 teaspoons finely chopped green onion tops,
"Chocolate chips, semisweet",1 ounce,1 ounce sweet cooking chocolate,
"Chocolate, semisweet",1-2/3 ounces,1 ounce unsweetened chocolate plus 4 teaspoons sugar,
"Chocolate, semisweet pieces, melted ",6 ounce package,2 squares unsweetened chocolate plus 2 tablespoons shortening and ½ cup sugar,
"Chocolate, unsweetened ",1 ounce or square,"3 tablespoons cocoa plus 1 tablespoon butter or margarine , 3 tablespoons carob powder plus 2 
tablespoons water",
Cocoa,¼ cup or 4 tablespoons,1 ounce chocolate ,
Coconut,"1 tablespoon grated, dry","1½ tablespoons fresh, grated",
Coconut Cream,1 cup,1 cup cream,
Coconut Milk,1 cup,1 cup milk,
Corn Syrup,1 cup,"1 cup sugar plus ¼ cup liquid , 1 cup honey",
Cornstarch ,1 tablespoon,"2 tablespoons all-purpose flour , 4 to 6 teaspoons quick-cooking tapioca",
Cracker crumbs,¾ cup,1 cup bread crumbs,
Cream cheese,,Part skim milk ricotta cheese or lowfat cottage cheese beaten until smooth,
"Cream, half-and-half",1 cup,"7/8 cup whole milk plus ½ tablespoon butter or margarine , 3 tablespoons oil plus milk to equal 1 cup , 1 cup evaporated milk",
